"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","neglog10_adjP","direction","deg_class"
"RTL4",-0.00854706828350408,5.64737265959493,-0.853809396723124,0.393358140725602,0.654366386379256,-6.23940070194679,0.184179017687805,"None","Not significant"
"HMGN1",-0.0310410881969733,10.2303803761269,-0.853696150753705,0.393420879299571,0.654417350022175,-6.23949564092569,0.184145195096199,"None","Not significant"
"ACTL7A",0.00623200738559698,5.35723293091992,0.853421440727969,0.393573094606461,0.654617129043139,-6.23972588991499,0.184012634910099,"None","Not significant"
"PRKAR2B",0.00683892282249715,5.41754835822669,0.853275094545173,0.393654198791534,0.654664632436271,-6.23984852016297,0.183981120743897,"None","Not significant"
"MDK",-0.0499968173919068,10.7720742308253,-0.85323759643875,0.393674981649752,0.654664632436271,-6.23987993818281,0.183981120743897,"None","Not significant"
"OR6C2",0.00643850098512013,5.23975093532316,0.853191794226296,0.393700367857582,0.654664632436271,-6.23991831197791,0.183981120743897,"None","Not significant"
"UPK1A",0.0452160937629013,5.90222532161054,0.85313812627562,0.393730114970256,0.654664632436271,-6.2399632731908,0.183981120743897,"None","Not significant"
"UTP14C",-0.0208896679513568,7.97314761586867,-0.853070621027299,0.393767533765286,0.65467345043678,-6.24001982281665,0.183975271056925,"None","Not significant"
"FAM90A14P",0.00651679217740764,5.30451081052164,0.85280766809759,0.393913311600177,0.654812285594397,-6.24024005773529,0.183883180946412,"None","Not significant"
"RAD9B",0.00584685135176986,5.36734614597653,0.852749672482396,0.393945468049752,0.654812285594397,-6.2402886225453,0.183883180946412,"None","Not significant"
"OR4L1",-0.0067613324009511,5.35526191589672,-0.852746177461924,0.393947405961721,0.654812285594397,-6.24029154912687,0.183883180946412,"None","Not significant"
"RASGRP3",0.0218268792812073,7.12471516793868,0.85256884569671,0.394045740106924,0.654922332823452,-6.2404400234763,0.183810199895491,"None","Not significant"
"ESS2",0.0125495813834074,6.68377966769986,0.852500488588625,0.394083649513535,0.654931941572919,-6.24049724851138,0.183803828153301,"None","Not significant"
"KIF18B",0.00677647045122001,5.36561505426902,0.852401754672601,0.394138409156173,0.654969550065101,-6.24057989534753,0.183778890154931,"None","Not significant"
"TEX9",-0.015746445073116,5.925767429501,-0.852200063278301,0.394250285232841,0.655037127314838,-6.24074869470359,0.183734083625016,"None","Not significant"
"RMDN2",0.00654664074348977,5.43150699661606,0.852195619702572,0.394252750253716,0.655037127314838,-6.24075241316714,0.183734083625016,"None","Not significant"
"LGALS1",-0.0318218333064505,12.6279320100367,-0.852143155600825,0.394281854797079,0.655037127314838,-6.24079631460139,0.183734083625016,"None","Not significant"
"TAS2R8",-0.00768929196567696,5.34733129287189,-0.85208853426933,0.394312157449885,0.655037127314838,-6.24084201831482,0.183734083625016,"None","Not significant"
